YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,station_id,latitude,longitude
2012,10,22,0,50,43,6.0,8.0,1.13,8.33,4.91,999,1017.1,25.4,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,1,20,47,6.8,8.5,1.04,9.09,4.82,999,1017.2,25.4,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,1,50,45,5.7,8.2,1.04,10.0,4.7,999,1017.4,25.3,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,2,20,58,6.3,8.1,1.02,9.09,4.5,999,1017.5,25.3,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,2,50,49,6.9,8.4,1.07,10.0,4.74,999,1017.7,25.3,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,3,20,48,6.7,8.0,1.03,9.09,4.62,999,1017.6,25.3,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,3,50,59,5.8,7.3,1.08,10.0,4.86,999,1017.7,25.3,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,4,20,60,5.8,7.4,1.01,9.09,4.71,999,1017.5,25.2,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,4,50,49,6.3,8.1,1.02,10.0,4.64,999,1017.3,25.4,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,5,20,51,6.3,8.0,0.95,3.85,4.13,999,1017.1,25.3,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,5,50,63,6.3,8.0,1.03,8.33,4.61,999,1017.0,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,6,20,47,7.9,10.1,1.01,9.09,4.44,999,1016.7,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,6,50,49,7.1,8.5,1.15,10.0,4.59,999,1016.7,25.3,27.7,999.0,99.0,99.0,41010,28.878,-78.467
